Number;Chemical name;Chemical Formula;Monoisotopic mass;[M+H]+;[M-H]-;Smile Code;INCHi;Source
3007;Atenolol-R102;;752.321518;753.329343;751.313693;;;
3008;Atenolol-R103;;762.269483;763.277308;761.261658;;;
3009;Atenolol-R104;;768.316433;769.324258;767.308608;;;
3010;Atenolol-R105;;778.264398;779.272223;777.256573;;;
3011;Atenolol-R106;;838.321913;839.329738;837.314088;;;
3012;Atenolol-R107;;854.316828;855.324653;853.309003;;;
3013;Atenolol-R108;;864.264793;865.272618;863.256968;;;
3014;Atenolol-R109;;868.296093;869.303918;867.288268;;;
3015;Atenolol-R110;;914.374343;915.382168;913.366518;;;
3016;Atenolol-R111;;930.369258;931.377083;929.361433;;;
3017;Atenolol-R112;;296.137223;297.145048;295.129398;;;
3018;Atenolol-R113;;589.242043;590.249868;588.234218;;;
3019;Atenolol-R114;;444.174043;445.181868;443.166218;;;
3020;Atenolol-R115;;442.195043;443.202868;441.187218;;;
3021;Atenolol-R116;;428.179043;429.186868;427.171218;;;
3022;Atenolol-R117;;427.178043;428.185868;426.170218;;;
3023;Atenolol-R118;;346.129443;347.137268;345.121618;;;
3024;Atenolol-R119;;324.168543;325.176368;323.160718;;;
3025;Atenolol-R120;;316.163443;317.171268;315.155618;;;
3026;Atenolol-R121;;573.247043;574.254868;572.239218;;;
3027;Atenolol-R122;;312.168543;313.176368;311.160718;;;
3028;Atenolol-R123;;312.132143;313.139968;311.124318;;;
3029;Atenolol-R124;;296.173643;297.181468;295.165818;;;
3030;Atenolol-R125;;284.173643;285.181468;283.165818;;;
3031;Atenolol-R126;;270.194343;271.202168;269.186518;;;
3032;Atenolol-R127;;268.142343;269.150168;267.134518;;;
3033;Atenolol-R128;;267.147043;268.154868;266.139218;;;
3034;Atenolol-R129;;266.126643;267.134468;265.118818;;;
3035;Atenolol-R130;;264.147343;265.155168;263.139518;;;
3036;Atenolol-R131;;254.163043;255.170868;253.155218;;;
3037;Atenolol-R132;;254.126643;255.134468;253.118818;;;
3038;Atenolol-R133;;506.062043;507.069868;505.054218;;;
3039;Atenolol-R134;;250.131743;251.139568;249.123918;;;
3040;Atenolol-R135;;240.147343;241.155168;239.139518;;;
3041;Atenolol-R136;;236.188843;237.196668;235.181018;;;
3042;Atenolol-R137;;224.116043;225.123868;223.108218;;;
3043;Atenolol-R138;;222.136843;223.144668;221.129018;;;
3044;Atenolol-R139;;212.116043;213.123868;211.108218;;;
3045;Atenolol-R140;;474.185043;475.192868;473.177218;;;
3046;Atenolol-R141;;210.100443;211.108268;209.092618;;;
3047;Atenolol-R142;;472.169043;473.176868;471.161218;;;
3048;Atenolol-R143;;445.188043;446.195868;444.180218;;;
3049;Atenolol-R144;;444.211043;445.218868;443.203218;;;
3050;Enrofloxacin-R001;;311.179775;312.1876;310.17195;;;
